425,Atorvastatín/Ezetimib Teva 20 mg/10 mg,2G,tbl flm 90x20 mg/10 mg (blis.OPA/Al/PVC/Al),C10BA05,83,A,14.31
426,Atorvastatín/Ezetimib Teva 40 mg/10 mg,2G,tbl flm 30x40 mg/10 mg (blis.OPA/Al/PVC/Al),C10BA05,65,A,14.23
427,Atorvastatín/Ezetimib Teva 40 mg/10 mg,2G,tbl flm 90x40 mg/10 mg (blis.OPA/Al/PVC/Al),C10BA05,69,N,14.41
428,Atorvastatín/Ezetimib Teva 80 mg/10 mg,3G,tbl flm 100(2x50)x80 mg/10 mg (blis.OPA/Al/PVC/Al-multibal.),C10BA05,83,N,10.3
429,Atorvastatín/Ezetimib Teva 80 mg/10 mg,3G,tbl flm 30x80 mg/10 mg (blis.OPA/Al/PVC/Al),C10BA05,34,N,14.38
430,ATOZET 10 mg/20 mg filmom obalené tablety,O,tbl flm 30x10 mg/20 mg (blis.OPA/Al/PVC/Al),C10BA05,88,A,13.03
431,ATOZET 10 mg/20 mg filmom obalené tablety,O,tbl flm 90x10 mg/20 mg (blis.OPA/Al/PVC/Al),C10BA05,26,A,13.02
432,ATOZET 10 mg/40 mg filmom obalené tablety,O,tbl flm 30x10 mg/40 mg (blis.OPA/Al/PVC/Al),C10BA05,15,N,13.89
433,ATOZET 10 mg/40 mg filmom obalené tablety,O,tbl flm 90x10 mg/40 mg (blis.OPA/Al/PVC/Al),C10BA05,54,A,2.52
434,ATROVENT N 20 µg,O,sol inh 1x10 ml/200 dávok (obal Al tlakový),R03BB01,5,A,6.25
435,"Atucare 0,5 mg/0,4 mg tvrdé kapsuly",1G,"cps dur 90x0,5mg/0,4mg (fľ.HDPE)",G04CA52,25,N,1.11
436,AUBAGIO 14 mg filmom obalené tablety,O,tbl flm 28x14 mg (blis.Al/Al),L04AA31,10,A,3.3
437,Augmentin 1 g,O,tbl flm 14x1 g (blis.Al/PVC/PVDC),J01CR02,2,A,2.96
438,Augmentin 375 mg,O,tbl flm 21x375 mg (blis.PVC/PVDC/Al),J01CR02,16,A,12.27
439,Augmentin 625 mg,O,tbl flm 21x625 mg (blis.Al/PVC/PVDC),J01CR02,50,N,14.99
440,Augmentin DUO s príchuťou miešaného ovocia,O,plu por 1x70 ml (fľ.skl.),J01CR02,32,A,8.42
441,AULIN 100 mg granulát,1G,gru por 15x100 mg (vre.papier/Al/PE),M01AX17,2,A,4.12
442,AULIN 100 mg granulát,1G,gru por 30x100 mg (vre.papier/Al/PE),M01AX17,82,A,11.5
443,AULIN 100 mg tablety,O,tbl 15x100 mg (blis.PVC/Al),M01AX17,91,N,13.14
444,AULIN 100 mg tablety,O,tbl 30x100 mg (blis.PVC/Al),M01AX17,68,N,3.43
445,Aurorix 300 mg,O,tbl flm 30x300 mg (blis.PVC/Al),N06AG02,55,N,9.59
446,"AVAMYS 27,5 mikrogramov/vstrek, nosová suspenzná aerodisperzia",O,aer nau 1x120 dávok/3300 µg (fľ.skl.jantár.),R01AD12,93,A,14.92
447,Avastin 25 mg/ml infúzny koncentrát,O,con inf 1x16 ml/400 mg (liek.inj.skl.),L01FG01,16,N,12.61
448,Avastin 25 mg/ml infúzny koncentrát,O,con inf 1x4 ml/100 mg (liek.inj.skl.),L01FG01,9,N,13.43
449,"Avodart 0,5 mg mäkké kapsuly",O,"cps mol 90x0,5 mg (blis.PVC/PVDC/Al)",G04CB02,86,A,2.91
450,"AVONEX 30 mikrogramov/0,5 ml injekčný roztok naplnený v injekčnom pere",O,"sol inj 4x0,5 ml/30 µg (napln. inj. striek.v inj.pere)",L03AB07,46,A,7.32
451,AXETINE 250 mg,1G,tbl flm 10x250 mg (blis.Al/Al),J01DC02,83,A,11.95
452,AXETINE 500 mg,1G,tbl flm 10x500 mg (blis.Al/Al),J01DC02,77,N,1.83
453,Azacitidine Accord 25 mg/ml prášok na injekčnú suspenziu,1G,plv inu 1x100 mg (liek.inj.skl.),L01BC07,7,N,5.63
454,Azacitidine betapharm 25 mg/ml prášok na injekčnú suspenziu,2G,plv inu 1x100 mg (liek.inj.skl.),L01BC07,83,N,10.32
455,Azacitidine Glenmark 25 mg/ml,3G,plv inu 1x100 mg (liek.inj.skl.),L01BC07,11,A,4.13
456,Azacitidine Sandoz 25 mg/ml prášok na injekčnú suspenziu,2G,plv inu 1x100 mg (liek.inj.skl.),L01BC07,42,A,7.57
457,Azacitidine STADA Arzneimittel 25 mg/ml prášok na injekčnú suspenziu,2G,plv inu 1x100 mg (liek.inj.skl.bez krytu),L01BC07,62,A,6.3
458,AZARGA 10 mg/ml + 5 mg/ml očná suspenzná instilácia,O,int opu 1x5 ml (fľ.PE),S01ED51,62,A,8.12
459,AZARGA 10 mg/ml + 5 mg/ml očná suspenzná instilácia,O,int opu 3x5 ml (fľ.PE),S01ED51,2,A,1.07
460,Azibiot,1G,tbl flm 3x500 mg,J01FA10,94,A,13.83
461,AZILECT 1 mg tablety,O,tbl 100x1 mg (blis.Al/Al),N04BD02,40,N,14.39
462,AZILECT 1 mg tablety,O,tbl 28x1 mg (blis.Al/Al),N04BD02,35,N,10.91
463,Azithromycin Actavis 500 mg,1G,tbl flm 3x500 mg (blis.OPA/PVC/Al/Al),J01FA10,47,N,10.03
464,Azithromycin Sandoz 200 mg/5 ml prášok na perorálnu suspenziu,1G,plu por 1x800 mg (800 mg/20 ml) (fľ. HDPE) (PE/PP inj. striek.),J01FA10,55,A,1.25
465,Azithromycin Sandoz 250 mg filmom obalené tablety,1G,tbl flm 6x250 mg (blis.PVC/PVDC/Al),J01FA10,26,A,3.97
466,Azithromycin Sandoz 500 mg filmom obalené tablety,1G,tbl flm 3x500 mg (blis.PVC/PVDC/Al),J01FA10,77,A,14.94
467,Azithromycin Sandoz 500 mg filmom obalené tablety,1G,tbl flm 6x500 mg (blis.PVC/PVDC/Al),J01FA10,83,A,1.35
468,Azitromycin Mylan 500 mg,1G,tbl flm 3x500 mg (blis.PVC/PVDC/Al),J01FA10,59,A,2.96
469,Azitrox 250,1G,tbl flm 6x250 mg (blis.PVC/Al),J01FA10,97,A,5.36
470,Azitrox 500,1G,tbl flm 3x500 mg (blis.PVC/Al),J01FA10,94,N,3.93
471,Azoneurax 75 mg,1G,tbl mod 30x75 mg (blis.PVC/PVDC/Al),N06AX05,32,N,9.6
472,"AZOPT 10 mg/ml, očná suspenzná instilácia",O,int opu 1x5 ml (fľ.PE),S01EC04,45,N,2.21
473,Bactroban,O,ung der 1x15 g (tuba Al),D06AX09,55,N,11.98
474,Balcoga 20 mg filmom obalené tablety,1G,tbl flm 90x20 mg (blis.PVC/Aclar/Al),G04BE03,89,N,11.61
475,Balneum Hermal,O,add bal 1x500 ml (fľ.PVC),D02AC,34,N,3.35
476,Balneum Hermal F,O,add bal 1x500 ml (fľ.PVC),D02AC,96,N,5.19
477,Balneum Hermal Plus,O,add bal 1x500 ml (fľ.PVC),D02AC,52,N,3.74
478,Balneum Hermal Plus,O,add bal 2x500 ml (fľ.PVC),D02AC,67,A,7.15
479,Baneocin,1G,ung der 1x20 g (tuba Al),D06AX,22,A,11.87
480,Baqsimi 3 mg nosový prášok v jednodávkovom obale,O,plv nas 1x3 mg (obal PE/PP),H04AA01,29,A,2.21
481,Baraclude,O,tbl flm 30x1x1 mg (bli.Alu/Alu),J05AF10,80,N,6.55
482,"Baraclude 0,5 mg filmom obalené tablety",O,"tbl flm 30x1x0,5 mg (bli.Alu/Alu)",J05AF10,40,N,11.36
483,Bavencio 20 mg/ml infúzny koncentrát,O,con inf 1x10 ml/200 mg (liek.inj.skl.),L01XC31,36,N,11.12
484,BCG-medac,O,plv suf 1x1 set (1xliek.inj.skl.+1x50 ml disp.prostr.+adapt.Luer-Lock),L03AX03,25,N,5.01
485,BECLOMET EASYHALER 200 mcg,O,plv inh 1x200 dávok (inh.plast.),R03BA01,93,A,8.35
486,BECLOMET NASAL AQUA 100 µg,O,aer nas 1x23 ml/200 dávok (fľ.HDPE),R01AD01,21,A,2.15
487,Belakne gél,1G,gel der 1x30 g (tuba PE/Al/PE),D10AD03,9,A,6.46
488,Belakne krém,1G,crm der 1x30 g (tuba Al),D10AD03,39,N,7.82
489,BELODERM,1G,crm der 1x30 g (tuba Al),D07AC01,81,A,13.37
490,BELODERM,1G,ung der 1x30 g (tuba Al),D07AC01,63,A,1.19
491,Beloderm lotion,2G,liq der 1x50 ml/25mg (fľ.PE),D07AC01,13,N,2.13
492,BELODUT,1G,"cps dur 90x0,5 mg/0,4 mg (fľ.HDPE)",G04CA52,4,N,2.36
493,BELOGENT,1G,crm der 1x30 g (tuba Al),D07CC01,43,N,8.19
494,BELOGENT,1G,ung der 1x30 g (tuba Al),D07CC01,6,A,10.02
495,Belokast 10 mg,1G,tbl flm 28(2x14)x10 mg (blis.Al/Al),R03DC03,82,N,8.66
496,Belokast 5 mg,1G,tbl mnd 28(2x14)x5 mg (blis.Al/Al),R03DC03,6,N,7.08
497,BELORETIN 10 mg,2G,cps mol 30 (2x15) x10 mg (blis.PVC/PVDC/Al),D10BA01,93,N,11.45
498,BELORETIN 20 mg,2G,cps mol 30 (2x15)x20 mg (blis.PVC/PVDC/Al),D10BA01,54,A,13.49
499,BELOSALIC,1G,liq der 1x100 ml (fľ.HDPE+rozprašovač),D07XC01,66,N,5.39
500,BELOSALIC,1G,liq der 1x50 ml (fľ.HDPE),D07XC01,7,N,13.95
501,BELOSALIC,1G,ung der 1x30 g (tuba Al),D07XC01,43,N,3.85
502,"Bemfola 150 IU/0,25 ml injekčný roztok v naplnenom pere",1B,"sol inj 5x0,25 ml/150 IU (náplň skl.v napl.pere + 5 ihiel)",G03GA05,75,N,7.21
503,"Bemfola 225 IU/0,375 ml injekčný roztok v naplnenom pere",1B,"sol inj 5x0,375 ml/225 IU (náplň skl.v napl.pere + 5 ihiel)",G03GA05,1,A,14.64
504,"Bemfola 300 IU/0,50 ml injekčný roztok v naplnenom pere",1B,"sol inj 1x0,50 ml/300 IU (náplň skl.v napl.pere + 1 ihla)",G03GA05,31,N,13.89
505,"Bemfola 75 IU/0,125 ml injekčný roztok v naplnenom pere",1B,"sol inj 5x0,125 ml/75 IU (náplň skl.v napl.pere + 5 ihiel)",G03GA05,100,A,3.93
506,"Bendamustine Glenmark 2,5 mg/ml",1G,plc ifo 20x25 mg (liek.inj.skl.jantárová),L01AA09,2,A,14.3
507,"Bendamustine Glenmark 2,5 mg/ml",1G,plc ifo 5x100 mg (liek.inj.skl.jantárová),L01AA09,61,N,6.02
508,"Bendamustine Glenmark 2,5 mg/ml",1G,plc ifo 5x25 mg (liek.inj.skl.jantárová),L01AA09,32,A,8.37
509,"Bendamustine Kabi 2,5 mg/ml",1G,plc ifc 1x100 mg (liek.inj.skl.),L01AA09,16,A,2.47
510,"Bendamustine Kabi 2,5 mg/ml",1G,plc ifc 1x25 mg (liek.inj.skl.),L01AA09,57,N,1.01
511,BENEMICIN 150 mg,1G,cps dur 100x150 mg (fľ.PP),J04AB02,88,A,8.78
512,BENEMICIN 300 mg,1G,cps dur 100x300 mg (fľ.PP),J04AB02,50,A,11.85
513,Benepali 50 mg injekčný roztok naplnený v injekčnej striekačke,1B,sol inj 4x1 ml/50 mg (striek.inj.napl.skl.),L04AB01,57,A,4.48
514,Benepali 50 mg injekčný roztok naplnený v injekčnom pere,1B,sol inj 4x1 ml/50 mg (pero napl.),L04AB01,68,A,11.2
515,Benlysta 120 mg prášok na infúzny koncentrát,O,plc ifc 1x120 mg (liek.inj.skl.),L04AA26,92,A,3.84
516,Benlysta 200 mg injekčný roztok naplnený v injekčnom pere,O,sol inj 4x1 ml/200 mg (striek.inj.skl. v napl.pere),L04AA26,100,N,7.74
517,Benlysta 400 mg prášok na infúzny koncentrát,O,plc ifc 1x400 mg (liek.inj.skl.),L04AA26,46,A,12.07
518,"BENOXI 0,4 %",O,int opo 1x10 ml (fľ.PE),S01HA02,82,N,1.48
519,Beovu 120 mg/ml injekčný roztok v naplnenej injekčnej striekačke,O,"sol inj 1x0,165 ml/19,8 mg (striek.inj.napl.skl.)",S01LA06,40,N,8.07
520,Beriate 500 IU,O,plv iio 1x500 IU+1x5 ml solv.(liek.inj.skl.+liek.inj.skl.+aplikačná súprava),B02BD02,48,N,2.33
521,Berinert 500 IU,O,plv iio 1x500 IU+1x10 ml solv. (liek.inj.skl.+liek.inj.skl.),B06AC01,4,N,1.13
522,Beriplex 500 IU,O,plv iol 1x500 IU+1x20 ml solv (liek.inj.skl.+liek.inj.skl.),B02BD01,25,N,2.48
523,BERODUAL N,O,sol inh 1x10 ml/200 dávok (obal kovový),R03AK03,98,N,4.32
524,BESPONSA 1 mg prášok na infúzny koncentrát,O,plc ifc 1x1 mg (liek.inj.skl.),L01XC26,60,N,12.55
525,BETAC,2G,tbl flm 100x20mg,C07AB05,34,A,12.95
526,BETAC,1G,tbl flm 30x20 mg (blister PVC/Al),C07AB05,15,N,3.26
527,BETADINE,1G,sup vag 14x200 mg (fólia plastická),G01AX11,77,N,8.29
528,"Betaferon 250 mikrogramov/ml, prášok a rozpúšťadlo na injekčný roztok",O,"plv iol 15x300 µg (liek.inj.skl.+1,2 ml solv.-napl.skl.striek.+1 ihl.adap.+ 2 alk.tamp.)",L03AB08,95,N,8.43
529,Betahistin Actavis 16 mg,1G,tbl 60x16 mg,N07CA01,1,N,10.1
530,Betahistin Actavis 24 mg,1G,tbl 100x24 mg (blis. PVC/PVDC/Al),N07CA01,79,N,7.74
531,Betahistin Actavis 24 mg,1G,tbl 50x24 mg (blis. PVC/PVDC/Al),N07CA01,93,N,4.14
532,Betahistin Actavis 8 mg,1G,tbl 100x8 mg,N07CA01,30,N,6.59
533,Betahistin Mylan 24 mg,1G,tbl 50x24 mg (blis.PVC/PVDC/Al),N07CA01,77,A,13.36
534,Betaklav 500 mg/125 mg filmom obalené tablety,1G,tbl flm 21x500 mg/125 mg (blis.OPA/Al/PVC/Al),J01CR02,16,N,11.51
535,Betaklav 875 mg/125 mg filmom obalené tablety,1G,tbl flm 14x875 mg/125 mg (blis.OPA/Al/PVC/Al),J01CR02,78,A,1.1
536,Betaklav 875 mg/125 mg filmom obalené tablety,1G,tbl flm 20x875 mg/125 mg (blis.OPA/Al/PVC/Al),J01CR02,81,A,9.48
537,"BETALMIC 0,5%",O,int opo 1x10 ml,S01ED02,73,N,10.66
538,Betaloc ZOK 100 mg,O,tbl mod 28x100 mg (blis.),C07AB02,43,A,2.14
539,Betaloc ZOK 25 mg,O,tbl mod 28x25 mg (blis.),C07AB02,24,N,12.38
540,Betaloc ZOK 50 mg,O,tbl mod 28x50 mg (blis.),C07AB02,31,N,9.81
541,BETAMAKS 200 mg,2G,tbl 30x200 mg (blis.PVC/Al),N05AL01,50,A,2.16
542,BETAMAKS 50 mg,2G,tbl 30x50 mg (blis.PVC/Al),N05AL01,99,A,14.24
543,Betaxolol Medreg 20 mg,3G,tbl 28x20 mg (blis.PVC/PVDC/Al),C07AB05,6,N,4.67
544,Betmiga 50 mg tablety s predĺženým uvoľňovaním,O,tbl plg 30x50 mg (blis.Al/Al),G04BD12,49,A,2.84
545,Betmiga 50 mg tablety s predĺženým uvoľňovaním,O,tbl plg 90x50 mg (blis.Al/Al),G04BD12,40,A,11.39
546,BETOPTIC,O,int opo 1x5 ml (fľ.PE),S01ED02,22,N,4.97
547,BETOPTIC S,O,int opu 1x5 ml (fľ.PE),S01ED02,100,N,9.09
548,Bewim 10 mg filmom obalené tablety,1G,tbl flm 28x10 mg (blis.OPA/Al/PVC/Al),B01AC22,1,A,5.25
549,Bicacel 150 mg,1G,tbl flm 30x150 mg (blis.PVC/PE/PVDC/Al),L02BB03,84,A,10.5
550,Bicagelan 150 mg filmom obalené tablety,1G,tbl flm 90x150 mg (blis.PVC/PVDC/Al),L02BB03,91,N,1.73
551,Bicalutamide Pharmevid 150 mg,1G,tbl flm 90x150 mg (blis. PVC/PE/PVDC/Al),L02BB03,5,A,8.42
552,Bicalutamid-Teva 150 mg,1G,tbl flm 90x150 mg (blis.PVC/PVDC/Al),L02BB03,38,A,11.58
553,Bigital 10 mg/5 mg,1G,tbl 30x10 mg/5 mg (blis.OPA/Al/PVC/Al),C07FB07,46,N,14.97
554,Bigital 10 mg/5 mg,1G,tbl 90x10 mg/5 mg (blis.OPA/Al/PVC/Al),C07FB07,100,N,8.71
555,Bigital 5 mg/10 mg,1G,tbl 30x5 mg/10 mg (blis.OPA/Al/PVC/Al),C07FB07,32,N,11.5
556,Bigital 5 mg/10 mg,1G,tbl 90x5 mg/10 mg (blis.OPA/Al/PVC/Al),C07FB07,24,A,1.79
557,Bigital 5 mg/5 mg,1G,tbl 30x5 mg/5 mg (blis.OPA/Al/PVC/Al),C07FB07,93,N,9.47
558,Bigital 5 mg/5 mg,1G,tbl 90x5 mg/5 mg (blis.OPA/Al/PVC/Al),C07FB07,22,A,7.93
559,Biktarvy 50 mg/200 mg/25 mg filmom obalené tablety,O,tbl flm 30x50 mg/200 mg/25 mg (fľ.HDPE),J05AR20,61,N,7.32
560,Bilamcar 16 mg/10 mg tvrdé kapsuly,2G,cps dur 28x16 mg/10 mg (blis.PA/Al/PVC/Al),C09DB07,33,A,13.03
561,Bilamcar 16 mg/5 mg tvrdé kapsuly,1G,cps dur 28x16 mg/5 mg (blis.PA/Al/PVC/Al),C09DB07,88,N,7.04
562,Bilamcar 8 mg/5 mg tvrdé kapsuly,2G,cps dur 28x8 mg/5 mg (blis.PA/Al/PVC/Al),C09DB07,70,A,9.16
563,"Bimaroz 0,3 mg/ml očná roztoková instilácia",1G,int opo 1x3 ml (fľ.LDPE s kvapkadlom),S01EE03,57,A,13.96
564,"Bimaroz 0,3 mg/ml očná roztoková instilácia",1G,int opo 3x3 ml (fľ.LDPE s kvapkadlom),S01EE03,65,N,14.83
565,"Bimatoprost Olikla 0,3 mg/ml ocná roztoková instilácia",O,int opo 1x3 ml (fl.LDPE),S01EE03,36,A,11.52
566,"Bimatoprost Olikla 0,3 mg/ml očná roztoková instilácia",2G,int opo 3x3 ml (fľ.LDPE),S01EE03,38,A,8.88
567,"Bimatoprost/timolol Olikla 0,3 mg/ml + 5 mg/ml ocné roztokové kvapky",2G,"int opo 1x3ml/0,9 mg+15 mg (fl.LDPE+kvapkadlo)",S01ED51,23,A,6.33
568,"Bimatoprost/timolol Olikla 0,3 mg/ml + 5 mg/ml ocné roztokové kvapky",2G,"int opo 3x3ml/0,9 mg+15 mg (fl.LDPE+kvapkadlo)",S01ED51,73,A,14.13
569,Binabic 150 mg,1G,tbl flm 28x150 mg (blis.PVC/PVDC/Al),L02BB03,40,A,12.34
570,Binabic 150 mg,1G,tbl flm 98x150 mg (blis.PVC/PVDC/Al),L02BB03,56,N,1.22
571,Binocrit 10 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,1B,"sol iru 6x1,0 ml/10000 IU (striek.inj.skl.napln.)",B03XA01,30,A,2.55
572,Binocrit 2 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,1B,"sol iru 6x1,0 ml/2000 IU (striek.inj.skl.napln.+ochr.kryt ihly)",B03XA01,19,A,13.23
573,"Binocrit 3 000 IU/0,3 ml injekčný roztok v naplnenej injekčnej striekačke",1B,"sol iru 6x0,3 ml/3000 IU (striek.inj.skl.napln.+ochr.kryt ihly)",B03XA01,79,A,14.72
574,"Binocrit 30 000 IU/0,75 ml injekčný roztok v naplnenej injekčnej striekačke",1B,"sol iru 6x0,75 ml/30000 IU (striek.inj.skl.napln.+ochr.kryt ihly)",B03XA01,11,A,11.74
575,"Binocrit 4 000 IU/0,4 ml injekčný roztok v naplnenej injekčnej striekačke",1B,"sol iru 6x0,4 ml/4000 IU (striek.inj.skl.napln.+ochr.kryt ihly)",B03XA01,82,N,4.18
576,Binocrit 40 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,1B,sol iru 6x1 ml/40000 IU (striek.inj.skl.napln.+ochr.kryt ihly),B03XA01,58,N,11.52
577,"Binocrit 5 000 IU/0,5 ml injekčný roztok v naplnenej injekčnej striekačke",1B,"sol iru 6x0,5 ml/5000 IU (striek.inj.skl.napln.+ochr.kryt ihly)",B03XA01,55,A,6.45
578,Biomin H,O,plv por 30x3 g (vre.papier/PE),A12AX,11,N,12.41
579,Biomin H,O,plv por 90x3 g (vre.papier/PE),A12AX,75,N,2.8
580,Biopoin 10 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,O,sol iru 6x1 ml/10 000 IU (striek.skl.napl. s bezp.ihlou),B03XA01,90,A,8.45
581,Biopoin 20 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,O,sol iru 6x1 ml/20 000 IU (striek.skl.napl. s bezp.ihlou),B03XA01,59,A,4
582,Biopoin 30 000 IU/1 ml injekčný roztok v naplnenej injekčnej striekačke,O,sol iru 6x1 ml/30 000 IU (striek.skl.napl. s bezp.ihlou),B03XA01,49,A,1.71
583,BISEPTOL 120,1G,tbl 20x120 mg (blis.PVC/Al),J01EE01,63,A,5.01
584,BISEPTOL 480,1G,con inf 10x5 ml,J01EE01,54,N,10.07
585,BISEPTOL 480,1G,tbl 28x480 mg (blis.PVC/Al),J01EE01,11,A,1.45
586,BISOBELA 5 mg tablety,1G,tbl 30x5 mg (blis.PVC/PVdC/Al),C07AB07,9,A,14.64
587,BISOBELA 5 mg tablety,1G,tbl 50x5 mg (blis.PVC/PVdC/Al),C07AB07,56,N,7.38
588,Bisocard 10 mg,1G,tbl flm 30x10 mg (blis.Al/PVC),C07AB07,22,N,7.84
589,Bisocard 10 mg,1G,tbl flm 60x10 mg (blis.Al/PVC),C07AB07,9,N,4.45
590,Bisocard 5 mg,1G,tbl flm 30x5 mg (blis.Al/PVC),C07AB07,20,N,7.42
591,Bisocard 5 mg,1G,tbl flm 60x5 mg (blis.Al/PVC),C07AB07,73,A,7.51
592,Bisomerck 10,O,tbl flm 30x10 mg,C07AB07,34,N,2.69
593,Bisomerck 5,O,tbl flm 30x5 mg,C07AB07,38,N,10.3
594,"Bisomyl Combi 2,5 mg/6,25 mg",1G,"tbl flm 30x2,5 mg/6,25 mg (blis.OPA/Al/PVC/Al)",C07BB07,67,A,11.34
595,"Bisomyl Combi 5 mg/6,25 mg",1G,"tbl flm 30x5 mg/6,25 mg (blis.OPA/Al/PVC/Al)",C07BB07,26,A,9.64
596,Bisoprolol Medreg 5 mg,2G,tbl 30x5 mg (blis.OPA/Al/PVC/Al),C07AB07,24,A,12.69
597,Bisoprolol Vitabalans 10 mg tablety,1G,tbl 30x10 mg (blis.PVC/Al),C07AB07,86,N,8.12
598,Bisoprolol Vitabalans 5 mg tablety,1G,tbl 100x5 mg (blis.PVC/Al),C07AB07,55,N,10
599,Bisoprolol Vitabalans 5 mg tablety,1G,tbl 30x5 mg (blis.PVC/Al),C07AB07,34,A,1.98
600,Bisoprolol-ratiopharm 10 mg,1G,tbl 30x10 mg (blis.Al/PVC/PVDC),C07AB07,30,N,8.72
601,Bisoprolol-ratiopharm 5 mg,1G,tbl 30x5 mg (blis.Al/PVC/PVDC),C07AB07,5,N,5.19
602,BISTON,O,tbl 50x200 mg (liek.skl.hnedá),N03AF01,64,A,10.64
603,BITAMMON,1G,"plv sus 1x70 ml/3,5 g (fľ.tmavá)",J01CR04,31,A,3.48
604,BITAMMON 375,1G,tbl obd 2x7x375 mg (blis.Al/OPA/Al/PVC),J01CR04,34,A,10.22
605,Bixebra 5 mg filmom obalené tablety,1G,tbl flm 56x5 mg (blis.OPA/Al/PVC/Al),C01EB17,22,N,12.47
606,"Bixebra 7,5 mg filmom obalené tablety",1G,"tbl flm 56x7,5 mg (blis.OPA/Al/PVC/Al)",C01EB17,35,A,11.6
607,Blemaren N,O,tbl eff 100(4x25) (tuba PP),G04BC,21,A,8.1
608,"BLINCYTO 38,5 mikrogramov prášok na prípravu infúzneho koncentrátu a roztok na prípravu infúzneho roztoku",O,"pci ssi 1x38,5 µg + 10 ml solv. (liek.inj.skl.)",L01XC19,56,A,6.42
609,Blitzima 100 mg infúzny koncentrát,1B,con inf 2x10 ml/100 mg (liek.inj.skl.),L01FA01,51,A,6.12
610,Bloonis 10 mg,1G,tbl oro 28x10 mg (blis.OPA/Al/PVC/Al),N05AH03,33,N,13.3
611,Bloonis 20 mg,1G,tbl oro 28x20 mg (blis.OPA/Al/PVC/Al),N05AH03,86,A,9.24
612,Bloonis 5 mg,1G,tbl oro 28x5 mg (blis.OPA/Al/PVC/Al),N05AH03,56,N,12.47
613,Bonaxon,1G,"cps dur 28x0,5 mg (blis.PVC/PE/PVDC/Al)",L04AA27,84,A,8.64
614,"Bonviva 150 mg, filmom obalené tablety",O,tbl flm 3x150 mg (blis.Alu/Alu),M05BA06,11,N,11.33
615,Bonviva 3 mg injekčný roztok,O,sol inj 1x3 ml/3 mg (skl.napln.striek.),M05BA06,63,N,8.1
616,Boostrix,O,"sus inj 1x0,5 ml (striek.skl.napl.)",J07AJ52,9,N,7.48
617,Boostrix Polio,O,"sus inj 10x0,5 ml (striek.skl.napl.s ihlou)",J07CA02,56,N,8.81
618,"Bortega 3,5 mg",1G,"plv ino 1x3,5 mg (liek.skl.inj.)",L01XX32,27,A,6.34
619,"Bortezomib Accord 2,5 mg/ml injekčný roztok",3G,"sol inj 1x1,4 ml/3,5 mg (liek.inj.skl.)",L01XX32,95,A,7.67
620,"Bortezomib Accord 3,5 mg prášok na injekčný roztok",1G,"plv ino 1x3,5 mg (liek.inj.skl.)",L01XX32,52,A,14.97
621,"Bortezomib Fresenius Kabi 3,5 mg prášok na injekčný roztok",3G,"plv ino 1x3,5 mg (liek.inj.skl.)",L01XX32,67,A,1.31
856,Colobreathe 1 662 500 IU inhalačný prášok v tvrdej kapsule,O,plv icd 56(7x8)x1 662 500 IU(blis.PA/Al/PVC/polyester/Al+1 zar. na inh.prášku-Turbospin),R07AX,20,A,12.84
857,Coloxet 500 mg,1G,tbl flm 120x500 mg (blis.PVC/PVDC/Al),L01BC06,22,N,1.83
858,COMBIGAN,O,int opo 1x5 ml,S01ED51,86,A,7.64
859,"COMETRIQ 20 mg tvrdé kapsuly, COMETRIQ 80 mg tvrdé kapsuly",O,cps dur 84x20 mg + 28x80 mg (blis.PVC/PE/PCTFE-Al),L01XE26,7,A,11.57
860,Compound Sodium Lactate Ringer-Lactat,1G,sol inf 10x500 ml (PE fľa.),B05BB01,9,N,11.2
861,Comtan 200 mg filmom obalené tablety,O,tbl flm 60x200 mg (fľ.HDPE),N04BX02,15,N,10.92
862,Conaret 10 mg tablety,1G,"tbl 30x10 mg (blis.PVC/PVDC fólia 0,250 mm/120 g/m2//Al)",C07AB07,54,A,7.84
863,"Conaret 2,5 mg tablety",2G,"tbl 30x2,5 mg (blis.PVC/PVDC fólia 0,250 mm/120 g/m2//Al)",C07AB07,9,A,6.74
864,Conaret 5 mg tablety,2G,"tbl 100x5 mg (blis.PVCPVDC fólia 0,250 mm/120 g/m2//Al)",C07AB07,1,A,5.16
865,Conaret 5 mg tablety,2G,"tbl 30x5 mg (blis.PVCPVDC fólia 0,250 mm/120 g/m2//Al)",C07AB07,94,N,5.24
866,"Conaret 7,5 mg tablety",1G,"tbl 30x7,5 mg (blis.PVC/PVDC fólia 0,250 mm/120 g/m2//Al)",C07AB07,97,A,10.64
867,Concerta 18 mg tablety s predĺženým uvoľňovaním,O,tbl plg 30x18 mg (fľ.HDPE),N06BA04,73,N,8.06
868,Concerta 36 mg tablety s predĺženým uvoľňovaním,O,tbl plg 30x36 mg (fľ.HDPE),N06BA04,24,A,5.29
869,Concerta 54 mg tablety s predĺženým uvoľňovaním,O,tbl plg 30x54 mg (fľ.HDPE),N06BA04,71,N,3.67
870,Concor 10,O,tbl flm 100x10 mg (blis.PVC/Al),C07AB07,67,A,1.47
